Reference, Value, Footprint, Datasheet
U1,iCE40-HX1K-VQ100,Housings_QFP:LQFP-100_14x14mm_Pitch0.5mm,
P1,CONN_01X10,Pin_Headers:Pin_Header_Angled_1x10,
P2,CONN_02X06,Pin_Headers:Pin_Header_Angled_2x06,
C1,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C3,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C2,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
R2,10K,Resistors_SMD:R_0805_HandSoldering,
R1,10K,Resistors_SMD:R_0805_HandSoldering,
D1,LED,LEDs:LED_0805,
D2,LED,LEDs:LED_0805,
P3,CONN_01X10,Pin_Headers:Pin_Header_Angled_1x10,
C5,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C4,4.7uF,Capacitors_SMD:C_0805_HandSoldering,
C6,10uF,Capacitors_SMD:C_0805_HandSoldering,
U3,Si501-PKG-B,manuf:SILABS-DFN-SI501-B,
U2,TPS62207DBV,TO_SOT_Packages_SMD:SOT-23-5,
L1,2.2 uH,Inductors:Inductor_Taiyo-Yuden_NR-20xx_HandSoldering,
W1,TEST_1V2,Connect:PINTST,
W2,TEST_3V3,Connect:PINTST,
W3,TEST_GND,Connect:PINTST,
