Reference, Value, Footprint, Datasheet
U1,iCE40-HX1K-VQ100,Housings_QFP:LQFP-100_14x14mm_Pitch0.5mm,
P1,CONN_01X10,Pin_Headers:Pin_Header_Angled_1x10,
P2,CONN_02X06,Pin_Headers:Pin_Header_Angled_2x06,
C1,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C3,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C2,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
R2,10K,Resistors_SMD:R_0805_HandSoldering,
R1,10K,Resistors_SMD:R_0805_HandSoldering,
D1,LED,LEDs:LED_0805,
D2,LED,LEDs:LED_0805,
P3,CONN_01X10,Pin_Headers:Pin_Header_Angled_1x10,
C5,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C6,10uF,Capacitors_SMD:C_0805_HandSoldering,
U3,Si501-PKG-B,manuf:SILABS-DFN-SI501-B,
W1,TEST_1V2,Connect:PINTST,
W2,TEST_3V3,Connect:PINTST,
W3,TEST_GND,Connect:PINTST,
U2,LD1117S12CTR,SOT-223,
C4,100nF,Capacitors_SMD:C_0805_HandSoldering,
R3,120ohm,,
W4,TEST_1V2,Connect:PINTST,
